@relation Jose_Calderon
@attribute box_fg3a Continuous
@attribute box_fg3m Continuous
@attribute box_fga Continuous
@attribute box_fgm Continuous
@attribute box_fta Continuous
@attribute box_ftm Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
5,1,7,1,2,2,2079,1610612737,1610612742,0,11,1,0,4,3,5
3,0,8,0,0,0,1505,1610612745,1610612742,0,6,1,0,1,2,0
7,3,11,4,4,4,2324,1610612763,1610612742,2,5,1,0,0,2,15
6,4,6,4,0,0,1305,1610612747,1610612742,0,5,0,0,1,1,12
2,1,6,3,2,2,1909,1610612760,1610612742,1,3,3,0,3,1,9
8,6,11,7,1,1,1981,1610612750,1610612742,0,7,1,0,1,2,21
6,3,8,3,0,0,2136,1610612749,1610612742,2,3,1,0,1,1,9
6,3,8,4,0,0,1990,1610612764,1610612742,0,4,2,0,2,2,11
9,4,10,4,0,0,2129,1610612748,1610612742,0,5,0,0,3,1,12
4,1,10,5,0,0,1847,1610612753,1610612742,0,9,0,0,0,1,11
10,4,13,5,0,0,1949,1610612755,1610612742,1,4,1,0,2,3,14
5,3,8,4,2,2,1760,1610612745,1610612742,0,2,1,0,2,3,13
2,1,3,2,0,0,1791,1610612762,1610612742,0,4,2,0,2,2,5
4,1,10,5,0,0,2044,1610612743,1610612742,0,5,1,0,0,3,11
4,3,6,4,2,1,1783,1610612743,1610612742,0,4,0,0,2,3,12
4,2,10,5,0,0,1663,1610612744,1610612742,0,3,0,0,1,2,12
7,4,11,5,2,2,1532,1610612737,1610612742,0,3,0,0,1,2,16
5,4,10,4,0,0,1975,1610612766,1610612742,0,1,0,1,0,2,12
10,3,11,4,1,1,1887,1610612740,1610612742,0,4,2,0,1,0,12
1,0,10,7,2,1,1939,1610612757,1610612742,0,7,2,0,1,4,15
