@relation Andray_Blatche
@attribute box_fg3a Continuous
@attribute box_fg3m Continuous
@attribute box_fga Continuous
@attribute box_fgm Continuous
@attribute box_fta Continuous
@attribute box_ftm Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
0,0,5,0,0,0,1217,1610612739,1610612751,0,0,1,1,3,2,0
0,0,8,4,4,1,1486,1610612748,1610612751,2,1,2,0,2,1,9
1,0,7,1,0,0,888,1610612753,1610612751,1,0,0,0,2,2,2
0,0,10,4,4,2,1344,1610612762,1610612751,1,0,1,0,3,2,10
0,0,5,4,4,2,1623,1610612764,1610612751,3,3,2,0,4,5,10
1,0,7,3,2,1,1166,1610612754,1610612751,1,2,1,0,2,1,7
0,0,5,2,0,0,880,1610612758,1610612751,0,1,1,0,2,2,4
0,0,6,2,4,3,1067,1610612756,1610612751,3,1,1,0,2,2,7
1,1,11,8,2,2,2021,1610612746,1610612751,3,2,1,0,1,3,19
0,0,10,4,2,2,1374,1610612757,1610612751,1,1,2,2,0,2,10
1,0,14,11,4,3,1732,1610612766,1610612751,4,1,1,0,2,2,25
0,0,14,7,2,2,1303,1610612750,1610612751,2,0,0,0,4,3,16
1,0,12,5,0,0,1541,1610612765,1610612751,1,2,1,0,1,1,10
1,0,16,10,4,4,1890,1610612761,1610612751,3,0,2,2,2,0,24
1,0,10,4,7,6,1619,1610612747,1610612751,2,3,2,2,1,3,14
0,0,6,0,0,0,625,1610612745,1610612751,2,0,1,0,1,0,0
3,3,10,7,5,4,1291,1610612763,1610612751,3,1,1,1,1,1,21
2,0,12,5,9,5,1444,1610612743,1610612751,2,1,0,0,1,2,15
1,0,3,1,2,0,784,1610612752,1610612751,1,3,0,0,3,4,2
1,0,12,4,4,3,1181,1610612749,1610612751,3,1,1,0,2,3,11
0,0,11,4,3,3,1205,1610612738,1610612751,3,2,1,1,1,1,11
1,0,11,7,8,7,1664,1610612746,1610612751,2,3,0,0,1,2,21
1,0,15,7,9,6,1892,1610612765,1610612751,4,0,1,1,1,5,20
0,0,12,8,5,4,1527,1610612755,1610612751,1,1,2,0,3,2,20
2,2,9,4,2,2,1453,1610612764,1610612751,0,4,0,2,1,1,12
1,0,10,3,0,0,1254,1610612755,1610612751,1,2,1,0,0,2,6
2,0,9,4,4,3,1542,1610612754,1610612751,3,2,1,0,1,3,11
0,0,11,1,6,5,1568,1610612741,1610612751,3,2,0,0,1,1,7
0,0,10,4,4,4,1219,1610612739,1610612751,1,2,1,0,0,2,12
0,0,3,1,1,1,698,1610612737,1610612751,1,0,1,1,1,4,3
0,0,13,6,6,5,1495,1610612744,1610612751,2,3,1,0,2,3,17
0,0,10,4,0,0,815,1610612748,1610612751,4,1,1,0,0,2,8
0,0,5,3,0,0,565,1610612761,1610612751,0,0,0,0,2,5,6
1,0,18,10,1,0,1624,1610612737,1610612751,6,6,1,1,5,2,20
3,1,12,9,0,0,1631,1610612752,1610612751,1,0,2,1,1,4,19
2,1,11,6,7,5,1467,1610612753,1610612751,0,3,0,1,0,2,18
1,0,8,4,0,0,1677,1610612742,1610612751,1,2,0,1,1,2,8
1,0,15,6,6,5,1512,1610612738,1610612751,2,1,2,2,1,4,17
1,0,11,8,4,4,1291,1610612761,1610612751,1,0,2,1,0,2,20
1,1,9,3,0,0,945,1610612760,1610612751,0,0,1,0,1,2,7
2,0,12,5,0,0,1133,1610612759,1610612751,3,4,3,0,1,5,10
1,0,7,3,4,2,883,1610612765,1610612751,2,2,2,0,0,1,8
0,0,4,3,0,0,376,1610612740,1610612751,1,0,0,0,3,3,6
1,0,11,6,1,1,1431,1610612766,1610612751,0,0,1,1,1,1,13
2,0,9,3,2,2,1406,1610612741,1610612751,1,1,2,0,0,0,8
0,0,20,11,4,3,1865,1610612762,1610612751,2,1,1,1,1,4,25
0,0,9,6,4,2,1687,1610612744,1610612751,2,1,2,0,2,2,14
2,0,10,2,8,6,1197,1610612747,1610612751,1,1,1,0,0,2,10
1,0,6,1,2,1,825,1610612757,1610612751,0,1,0,0,0,2,3
1,1,6,4,0,0,1059,1610612743,1610612751,2,1,4,0,0,2,9
0,0,12,5,9,9,1781,1610612749,1610612751,6,2,3,1,0,3,19
1,0,11,4,3,3,1709,1610612741,1610612751,1,3,3,0,1,3,11
