@relation Tim_Hardaway_Jr
@attribute box_fg3a Continuous
@attribute box_fg3m Continuous
@attribute box_fga Continuous
@attribute box_fgm Continuous
@attribute box_fta Continuous
@attribute box_ftm Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
1,1,2,2,0,0,905,1610612749,1610612752,0,2,0,0,0,2,5
6,2,13,4,0,0,1610,1610612741,1610612752,0,0,0,0,0,4,10
7,0,12,3,0,0,1496,1610612750,1610612752,1,1,0,0,1,3,6
4,0,7,2,0,0,703,1610612766,1610612752,1,1,0,0,0,1,4
2,1,4,2,0,0,830,1610612766,1610612752,0,0,0,0,2,1,5
4,1,7,3,5,4,1135,1610612759,1610612752,1,1,0,0,1,1,11
4,2,8,5,2,2,918,1610612737,1610612752,0,0,1,0,0,0,14
1,1,3,2,3,3,829,1610612745,1610612752,0,0,1,0,0,1,8
2,2,7,3,1,0,1305,1610612737,1610612752,1,3,1,0,1,0,8
1,0,3,0,0,0,652,1610612765,1610612752,0,0,1,0,0,0,0
0,0,1,1,0,0,243,1610612754,1610612752,0,0,0,0,0,0,2
1,1,3,2,0,0,390,1610612764,1610612752,0,1,0,0,0,1,5
1,0,3,1,0,0,482,1610612746,1610612752,0,0,0,0,1,1,2
3,2,5,3,0,0,893,1610612743,1610612752,1,0,0,2,1,1,8
8,5,10,6,4,4,1473,1610612740,1610612752,0,2,0,0,1,1,21
6,2,11,5,0,0,1152,1610612751,1610612752,0,1,0,0,0,2,12
7,5,7,5,0,0,1358,1610612753,1610612752,0,3,1,0,0,0,15
2,1,7,3,1,1,1479,1610612738,1610612752,0,1,3,1,2,1,8
4,1,7,4,0,0,1304,1610612739,1610612752,0,1,0,1,1,2,9
3,1,7,3,0,0,1103,1610612741,1610612752,0,1,0,0,0,1,7
0,0,2,0,0,0,515,1610612738,1610612752,0,0,0,0,0,2,0
3,1,10,5,3,2,1625,1610612737,1610612752,1,2,3,0,1,0,13
3,2,6,5,3,2,1304,1610612764,1610612752,0,0,0,0,2,3,14
2,1,7,3,1,1,1345,1610612749,1610612752,0,3,1,0,0,2,8
7,2,13,7,0,0,1804,1610612763,1610612752,0,2,1,1,1,2,16
3,1,4,2,0,0,1063,1610612753,1610612752,0,1,0,0,0,0,5
7,2,19,8,3,3,2271,1610612760,1610612752,1,2,0,0,0,1,21
5,4,13,5,1,1,2194,1610612761,1610612752,0,1,1,1,2,3,15
5,2,11,4,3,2,1675,1610612761,1610612752,0,0,0,0,1,3,12
0,0,1,0,4,3,736,1610612759,1610612752,0,1,0,0,0,0,3
1,0,1,0,2,1,652,1610612745,1610612752,0,0,0,0,0,0,1
2,1,6,4,1,1,690,1610612742,1610612752,0,0,0,0,0,1,10
4,0,4,0,2,2,771,1610612765,1610612752,0,0,0,0,0,1,2
3,1,4,2,0,0,829,1610612748,1610612752,1,1,1,0,1,2,5
2,1,3,2,2,2,1299,1610612755,1610612752,0,0,2,0,1,0,7
1,1,1,1,2,2,911,1610612756,1610612752,0,0,0,0,0,2,5
6,2,10,4,3,2,1603,1610612766,1610612752,1,1,1,0,0,0,12
5,0,10,2,0,0,1275,1610612754,1610612752,0,0,0,0,1,3,4
3,2,4,2,0,0,683,1610612746,1610612752,0,0,0,0,0,1,6
2,1,5,3,5,4,1530,1610612751,1610612752,0,0,0,0,0,2,11
3,1,5,2,1,1,952,1610612755,1610612752,0,0,1,0,1,0,6
6,2,8,4,0,0,1861,1610612766,1610612752,0,3,1,0,0,2,10
5,4,12,7,1,0,1536,1610612747,1610612752,2,0,1,0,1,1,18
4,2,10,5,4,4,1990,1610612738,1610612752,0,2,1,0,1,3,16
12,6,17,11,1,1,1828,1610612739,1610612752,0,1,0,0,1,3,29
7,3,14,7,0,0,2192,1610612748,1610612752,0,1,1,0,1,3,17
6,1,10,2,2,2,1672,1610612749,1610612752,0,2,1,0,0,1,7
7,1,13,5,2,1,1634,1610612757,1610612752,0,0,0,0,1,1,12
6,2,9,4,0,0,1791,1610612743,1610612752,0,2,0,0,1,2,10
2,0,6,2,2,1,1295,1610612760,1610612752,0,1,0,0,0,2,5
6,1,12,3,1,0,2276,1610612758,1610612752,1,1,1,0,2,1,7
9,4,15,7,5,5,1467,1610612763,1610612752,1,0,1,0,1,3,23
6,3,13,6,2,1,2170,1610612740,1610612752,0,2,1,0,0,1,16
6,3,16,6,0,0,2715,1610612753,1610612752,1,0,0,0,1,5,15
5,1,10,3,0,0,1819,1610612737,1610612752,0,1,0,0,1,6,7
8,2,10,4,0,0,1842,1610612742,1610612752,0,0,0,0,1,3,10
8,0,15,2,2,2,2031,1610612748,1610612752,1,0,0,0,1,4,6
7,4,11,6,6,6,2429,1610612744,1610612752,0,0,2,0,1,3,22
8,2,14,5,2,2,1519,1610612741,1610612752,0,1,0,0,0,2,14
3,0,6,0,0,0,1298,1610612765,1610612752,0,1,0,0,2,4,0
6,3,10,4,0,0,1649,1610612750,1610612752,0,0,0,0,0,4,11
6,1,11,2,0,0,1476,1610612762,1610612752,0,3,3,0,0,3,5
5,1,6,2,0,0,837,1610612739,1610612752,0,0,1,0,0,0,5
7,5,13,9,6,5,1732,1610612755,1610612752,0,0,0,0,2,2,28
5,3,11,7,6,5,2301,1610612738,1610612752,0,0,1,0,1,0,22
6,2,12,8,3,2,1511,1610612749,1610612752,0,0,0,1,2,3,20
4,0,7,0,2,2,915,1610612754,1610612752,1,0,0,0,0,2,2
5,0,11,3,1,0,1641,1610612755,1610612752,0,2,2,0,0,3,6
4,1,12,5,1,1,1606,1610612739,1610612752,0,0,0,0,0,1,12
3,2,7,5,7,5,1444,1610612747,1610612752,0,3,1,0,1,5,17
1,0,3,2,2,2,995,1610612758,1610612752,0,0,2,0,0,2,6
7,1,11,2,0,0,1259,1610612756,1610612752,1,1,1,0,0,2,5
7,3,12,6,0,0,1683,1610612744,1610612752,0,1,1,0,0,0,15
5,1,9,3,4,3,1880,1610612762,1610612752,0,2,0,0,0,3,10
5,3,10,7,0,0,1653,1610612751,1610612752,1,0,0,0,0,1,17
3,1,6,2,0,0,1278,1610612764,1610612752,0,1,0,0,1,1,5
4,0,7,0,0,0,724,1610612748,1610612752,0,0,0,0,0,3,0
3,0,5,2,0,0,733,1610612761,1610612752,1,1,0,0,1,1,4
7,2,12,5,8,8,1593,1610612741,1610612752,0,0,3,0,0,2,20
5,4,10,5,2,2,2155,1610612751,1610612752,0,0,0,0,0,4,16
5,3,15,6,4,3,2112,1610612761,1610612752,0,2,0,0,1,1,18
6,1,10,2,2,2,1073,1610612741,1610612752,0,1,0,0,0,2,7
0,0,0,0,0,0,285,1610612739,1610612752,0,1,0,0,0,0,0
2,1,5,4,0,0,628,1610612766,1610612752,0,0,0,0,0,0,9
3,1,7,2,2,2,669,1610612764,1610612752,0,0,0,0,0,0,7
7,4,15,8,0,0,1603,1610612765,1610612752,0,3,0,0,0,3,20
5,3,12,5,4,3,1708,1610612751,1610612752,0,3,0,0,0,1,16
6,3,12,5,3,2,1495,1610612737,1610612752,0,2,0,0,1,5,15
4,2,11,6,1,1,1341,1610612737,1610612752,1,1,0,1,1,1,15
5,0,8,1,0,0,1055,1610612753,1610612752,0,1,0,0,0,2,2
1,0,6,1,1,1,935,1610612762,1610612752,0,0,0,0,0,0,3
1,0,4,2,2,2,653,1610612743,1610612752,0,1,0,0,0,0,6
8,3,14,9,4,3,1741,1610612749,1610612752,0,2,0,0,1,2,24
3,1,5,2,2,1,1322,1610612750,1610612752,0,2,0,0,3,2,6
0,0,1,0,2,2,524,1610612755,1610612752,0,0,0,0,3,2,2
4,1,7,2,0,0,877,1610612745,1610612752,0,1,0,0,0,0,5
0,0,3,2,0,0,758,1610612742,1610612752,0,0,0,0,0,0,4
7,1,14,4,2,2,1540,1610612760,1610612752,0,3,1,0,0,2,11
3,0,5,1,1,0,972,1610612748,1610612752,0,1,1,0,1,3,2
3,0,7,1,0,0,867,1610612751,1610612752,1,1,1,0,0,0,2
8,4,14,8,0,0,1290,1610612739,1610612752,0,1,0,0,0,1,20
7,3,10,4,2,2,1081,1610612766,1610612752,0,1,0,0,1,1,13
3,0,5,2,3,3,765,1610612757,1610612752,0,2,0,0,1,1,7
2,1,5,2,0,0,790,1610612740,1610612752,0,1,1,0,0,1,5
7,4,18,9,2,1,1768,1610612759,1610612752,1,2,1,0,2,2,23
4,2,13,5,4,4,1901,1610612738,1610612752,1,1,0,0,0,0,16
8,1,15,4,9,9,2108,1610612761,1610612752,0,2,0,0,5,3,18
8,0,17,5,4,4,2107,1610612742,1610612752,0,2,0,0,1,1,14
8,5,19,8,2,2,2410,1610612741,1610612752,1,5,1,0,3,3,23
5,1,14,5,5,5,2063,1610612756,1610612752,1,1,1,1,2,3,16
4,2,8,3,2,2,1981,1610612761,1610612752,1,4,1,0,0,1,10
6,1,10,3,1,1,1830,1610612764,1610612752,0,2,1,1,1,2,8
6,3,14,7,3,2,1793,1610612758,1610612752,1,2,0,2,5,4,19
10,3,17,5,7,4,2213,1610612757,1610612752,0,5,0,0,3,4,17
5,1,7,2,0,0,1175,1610612746,1610612752,0,0,0,1,2,1,5
5,3,13,6,4,2,2264,1610612749,1610612752,0,4,1,1,2,3,17
8,2,14,4,4,2,2023,1610612763,1610612752,0,1,0,1,1,1,12
3,0,10,3,1,1,1424,1610612764,1610612752,0,3,1,0,1,2,7
6,1,9,3,0,0,1037,1610612745,1610612752,0,0,0,0,0,2,7
