@relation Jabari_Brown
@attribute game_id Numeric
@attribute box_fg3a Numeric
@attribute box_fg3m Numeric
@attribute box_fga Numeric
@attribute box_fgm Numeric
@attribute box_fta Numeric
@attribute box_ftm Numeric
@attribute box_minutes Numeric
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Numeric
@attribute box_ast Numeric
@attribute box_stl Numeric
@attribute box_blk Numeric
@attribute box_to Numeric
@attribute box_pf Numeric
@attribute box_pts Numeric
@data
21400966,2,0,6,3,4,1,1058,1610612752,1610612747,0,1,0,0,1,1,7
21400989,2,1,5,4,0,0,1340,1610612737,1610612747,0,0,2,0,0,2,9
21401019,2,2,4,2,2,1,1174,1610612762,1610612747,0,1,1,0,2,2,7
21400999,1,0,4,2,1,1,1227,1610612744,1610612747,0,1,1,0,2,0,5
21401047,2,1,6,2,6,5,1468,1610612755,1610612747,1,4,0,1,1,1,10
21401056,1,0,6,3,1,1,1638,1610612760,1610612747,0,1,0,0,0,1,7
21401067,3,3,4,3,0,0,1933,1610612750,1610612747,0,3,1,0,1,1,9
21401080,2,0,5,2,4,3,988,1610612761,1610612747,0,0,0,0,3,0,7
21401093,5,1,14,4,2,2,1853,1610612751,1610612747,0,3,4,1,2,0,11
21401102,4,3,10,7,5,5,2036,1610612755,1610612747,0,3,1,0,1,2,22
21401123,2,1,8,2,2,1,1811,1610612740,1610612747,1,1,0,0,1,1,6
21401136,3,1,9,2,9,6,1791,1610612757,1610612747,0,0,0,0,1,2,11
21401153,4,1,9,4,2,1,1835,1610612746,1610612747,0,1,0,0,2,2,10
21401169,4,1,12,3,5,4,2053,1610612743,1610612747,1,0,0,0,1,1,11
21401186,4,0,14,6,12,8,2269,1610612750,1610612747,0,7,0,0,2,4,20
21401211,6,1,17,6,6,5,2777,1610612758,1610612747,0,7,0,0,1,5,18
21401230,6,4,19,9,11,10,2880,1610612758,1610612747,0,2,2,0,5,3,32
