@relation Gary_Harris
@attribute box_fg3a Continuous
@attribute box_fg3m Continuous
@attribute box_fga Continuous
@attribute box_fgm Continuous
@attribute box_fta Continuous
@attribute box_ftm Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
5,1,10,6,1,0,1109,1610612754,1610612743,1,2,2,1,1,1,13
1,0,3,0,0,0,626,1610612752,1610612743,0,0,2,0,1,1,0
0,0,0,0,0,0,349,1610612741,1610612743,0,0,1,0,0,1,0
4,2,8,3,0,0,1410,1610612756,1610612743,0,1,3,0,6,4,8
4,2,6,2,0,0,1042,1610612762,1610612743,0,0,0,0,0,1,6
1,0,2,0,2,2,392,1610612757,1610612743,0,1,1,0,0,0,2
2,0,4,0,0,0,1131,1610612764,1610612743,0,0,1,0,1,2,0
4,0,8,1,2,1,621,1610612737,1610612743,3,0,0,0,1,0,3
0,0,2,0,0,0,341,1610612761,1610612743,0,0,1,0,0,1,0
5,2,7,2,2,1,1378,1610612748,1610612743,1,4,1,0,1,2,7
1,0,4,0,0,0,791,1610612745,1610612743,1,0,0,0,1,1,0
1,0,2,0,0,0,811,1610612759,1610612743,0,1,3,0,2,1,0
3,0,4,0,6,4,994,1610612766,1610612743,2,0,1,0,0,2,4
4,1,5,1,2,2,1081,1610612747,1610612743,0,1,1,0,1,2,5
3,1,7,2,2,2,992,1610612741,1610612743,1,1,0,0,0,2,7
0,0,2,1,0,0,383,1610612763,1610612743,0,2,1,0,0,2,2
0,0,3,2,2,1,775,1610612758,1610612743,0,0,2,0,0,1,5
2,0,2,0,2,1,670,1610612742,1610612743,0,0,0,1,0,3,1
0,0,0,0,0,0,84,1610612742,1610612743,0,0,0,0,0,0,0
3,1,6,2,0,0,647,1610612744,1610612743,0,0,1,0,0,1,5
3,0,6,0,2,2,876,1610612763,1610612743,1,1,1,1,0,1,2
2,1,6,3,0,0,490,1610612766,1610612743,2,1,0,1,1,2,7
2,1,4,2,2,2,1092,1610612755,1610612743,1,1,1,0,0,2,7
0,0,0,0,0,0,331,1610612738,1610612743,0,0,0,0,1,0,0
3,0,4,1,0,0,678,1610612765,1610612743,0,2,0,0,0,1,2
0,0,0,0,0,0,76,1610612760,1610612743,0,0,0,0,0,0,0
2,0,5,1,2,2,934,1610612760,1610612743,0,1,0,0,2,1,4
6,1,12,4,3,1,1567,1610612751,1610612743,1,0,0,1,1,3,10
3,0,4,1,0,0,981,1610612762,1610612743,0,0,1,0,1,0,2
1,0,2,1,0,0,933,1610612740,1610612743,0,0,1,0,1,0,2
1,0,3,0,0,0,524,1610612750,1610612743,0,0,0,0,0,2,0
0,0,1,1,0,0,452,1610612759,1610612743,0,0,1,0,0,0,2
1,0,4,1,0,0,394,1610612745,1610612743,0,0,1,0,1,1,2
2,0,4,1,0,0,1332,1610612752,1610612743,0,0,0,0,2,2,2
2,0,3,0,1,1,720,1610612737,1610612743,1,0,2,0,2,1,1
0,0,3,0,0,0,442,1610612744,1610612743,0,0,0,0,0,0,0
1,0,2,0,0,0,981,1610612740,1610612743,0,0,1,1,0,3,0
0,0,0,0,0,0,8,1610612745,1610612743,0,0,0,0,0,0,0
0,0,0,0,0,0,241,1610612749,1610612743,0,0,0,0,1,1,0
5,1,10,3,2,2,1540,1610612756,1610612743,0,2,1,0,1,4,9
2,1,4,3,0,0,1019,1610612763,1610612743,0,1,2,0,1,2,7
4,0,7,1,0,0,758,1610612748,1610612743,0,1,1,0,0,0,2
1,0,2,1,2,1,568,1610612753,1610612743,1,0,0,0,0,0,3
0,0,0,0,0,0,31,1610612755,1610612743,0,0,0,0,0,0,0
0,0,2,2,0,0,274,1610612762,1610612743,0,1,1,0,0,1,4
1,0,2,1,0,0,632,1610612757,1610612743,0,0,1,0,0,1,2
1,0,6,1,2,2,814,1610612762,1610612743,1,0,1,0,0,1,4
2,1,6,3,1,1,838,1610612759,1610612743,0,0,0,0,1,1,8
1,0,4,1,2,1,1150,1610612746,1610612743,0,1,1,0,1,5,3
3,1,6,4,0,0,1064,1610612747,1610612743,0,0,0,1,0,1,9
