@relation Shelvin_Mack
@attribute box_fg3a Continuous
@attribute box_fg3m Continuous
@attribute box_fga Continuous
@attribute box_fgm Continuous
@attribute box_fta Continuous
@attribute box_ftm Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
0,0,0,0,2,2,255,1610612742,1610612737,0,2,0,0,0,0,2
3,1,8,3,0,0,1120,1610612743,1610612737,1,2,1,0,0,2,7
0,0,0,0,0,0,24,1610612753,1610612737,0,0,0,0,0,0,0
3,2,3,2,0,0,500,1610612766,1610612737,0,2,0,0,1,0,6
3,2,8,5,0,0,1463,1610612752,1610612737,0,12,1,0,1,1,12
3,1,7,3,0,0,1503,1610612748,1610612737,0,2,0,0,1,3,7
1,0,3,0,2,1,1030,1610612765,1610612737,0,3,1,0,0,0,1
0,0,6,2,0,0,1117,1610612765,1610612737,0,2,1,0,3,1,4
2,1,7,3,0,0,730,1610612738,1610612737,0,1,0,0,0,1,7
1,0,5,3,0,0,492,1610612753,1610612737,0,2,1,0,0,0,6
0,0,4,1,2,1,1266,1610612742,1610612737,0,0,1,0,0,2,3
1,0,9,4,4,3,1484,1610612764,1610612737,0,6,4,0,2,6,11
2,1,7,3,0,0,1183,1610612759,1610612737,0,2,0,0,0,2,7
2,0,9,5,2,2,1476,1610612746,1610612737,1,5,1,0,1,4,12
1,0,8,3,0,0,1165,1610612739,1610612737,0,5,1,0,0,1,6
5,3,9,7,0,0,1175,1610612760,1610612737,0,6,0,0,2,3,17
3,0,9,1,2,2,1786,1610612764,1610612737,0,5,0,0,1,0,4
3,2,5,4,0,0,1204,1610612752,1610612737,0,2,0,0,2,2,10
2,1,6,4,0,0,1008,1610612747,1610612737,1,2,1,0,0,2,9
2,0,4,2,2,2,1002,1610612758,1610612737,0,6,1,0,1,0,6
1,0,6,3,0,0,910,1610612762,1610612737,0,2,0,0,1,1,6
1,0,5,1,2,1,1302,1610612748,1610612737,0,7,1,0,2,1,3
3,1,9,3,4,3,2139,1610612739,1610612737,2,5,3,0,0,2,10
3,1,8,2,0,0,1446,1610612766,1610612737,0,5,1,0,1,0,5
7,4,11,5,0,0,1479,1610612753,1610612737,1,3,2,0,3,2,14
4,1,9,1,2,2,1400,1610612738,1610612737,0,5,0,0,2,2,5
3,1,8,6,2,2,1570,1610612744,1610612737,0,4,3,0,2,2,15
2,0,7,2,0,0,952,1610612741,1610612737,0,2,0,0,2,0,4
2,1,5,2,0,0,751,1610612751,1610612737,0,1,0,0,1,1,5
2,1,5,1,2,2,776,1610612754,1610612737,1,3,0,0,2,0,5
2,1,7,3,0,0,918,1610612745,1610612737,0,1,0,0,0,1,7
3,1,5,3,3,2,874,1610612763,1610612737,1,2,0,0,2,0,9
3,3,9,6,2,2,1317,1610612751,1610612737,0,7,2,0,2,2,17
4,1,10,5,2,2,1613,1610612748,1610612737,0,7,0,0,1,2,13
2,0,10,5,0,0,1213,1610612753,1610612737,0,3,1,0,2,1,10
2,0,6,2,0,0,1301,1610612759,1610612737,0,3,1,1,1,2,4
2,1,7,3,2,2,1430,1610612749,1610612737,0,4,2,0,2,1,9
5,3,14,6,0,0,1882,1610612760,1610612737,2,7,0,0,1,1,15
2,1,7,3,4,3,1060,1610612765,1610612737,0,3,0,0,2,2,10
1,0,6,4,0,0,722,1610612755,1610612737,0,4,1,0,0,0,8
2,1,7,3,0,0,1030,1610612750,1610612737,0,2,1,0,2,1,7
1,0,5,1,2,2,1115,1610612754,1610612737,0,3,2,0,1,2,4
0,0,3,0,0,0,911,1610612740,1610612737,0,5,0,0,0,1,0
2,0,6,2,0,0,562,1610612741,1610612737,0,3,2,0,2,0,4
1,0,3,0,0,0,865,1610612761,1610612737,0,3,0,0,2,0,0
3,1,8,5,0,0,1542,1610612754,1610612737,1,8,1,0,4,2,11
1,0,5,2,2,2,997,1610612764,1610612737,0,3,0,0,2,3,6
4,2,16,8,4,3,2279,1610612765,1610612737,1,6,0,0,1,3,21
4,0,9,1,2,1,1676,1610612752,1610612737,0,4,0,0,1,2,3
5,1,14,8,0,0,1649,1610612741,1610612737,1,3,0,0,0,2,17
2,1,5,1,4,3,1833,1610612738,1610612737,0,8,0,0,4,2,6
2,1,11,5,0,0,1048,1610612756,1610612737,0,0,1,0,1,0,11
