@relation Aaron_Gordon
@attribute game_id Numeric
@attribute box_fg3a Numeric
@attribute box_fg3m Numeric
@attribute box_fga Numeric
@attribute box_fgm Numeric
@attribute box_fta Numeric
@attribute box_ftm Numeric
@attribute box_minutes Numeric
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Numeric
@attribute box_ast Numeric
@attribute box_stl Numeric
@attribute box_blk Numeric
@attribute box_to Numeric
@attribute box_pf Numeric
@attribute box_pts Numeric
@data
21400001,2,1,8,5,0,0,1707,1610612740,1610612753,2,0,1,1,3,3,11
21400016,1,0,4,2,1,0,1050,1610612764,1610612753,0,1,0,0,1,1,4
21400029,0,0,1,0,0,0,396,1610612761,1610612753,1,1,0,0,1,3,0
21400053,2,0,6,3,0,0,823,1610612741,1610612753,1,0,0,1,0,2,6
21400058,0,0,2,1,0,0,449,1610612755,1610612753,1,0,0,0,2,0,2
21400072,2,2,9,6,3,3,1306,1610612750,1610612753,1,1,0,2,0,0,17
21400090,0,0,3,1,1,0,986,1610612751,1610612753,0,0,1,1,1,2,2
21400103,0,0,2,0,2,1,587,1610612761,1610612753,1,1,0,0,1,1,1
21400113,1,1,1,1,4,4,850,1610612752,1610612753,0,0,0,0,1,2,7
21400123,0,0,3,3,2,2,889,1610612749,1610612753,0,3,1,1,0,0,8
21400132,0,0,4,3,2,0,857,1610612764,1610612753,1,0,0,0,1,1,6
21400609,1,1,4,2,5,3,708,1610612760,1610612753,1,1,0,0,1,3,8
21400629,0,0,2,2,0,0,718,1610612765,1610612753,1,0,1,1,0,0,4
21400645,0,0,2,2,3,1,780,1610612752,1610612753,0,1,1,0,0,2,5
21400662,2,1,5,3,2,2,1271,1610612754,1610612753,0,0,0,1,0,0,9
21400670,1,0,7,3,2,1,1237,1610612763,1610612753,1,1,0,0,0,3,7
21400692,0,0,1,1,4,2,1187,1610612749,1610612753,0,0,0,0,1,1,4
21400706,3,2,8,3,4,3,1779,1610612742,1610612753,2,0,0,0,1,5,11
21400723,1,0,7,2,2,2,1539,1610612760,1610612753,2,2,0,0,2,1,6
21400748,1,0,6,3,1,1,1380,1610612747,1610612753,1,2,0,0,1,1,7
21400770,2,1,2,1,0,0,700,1610612741,1610612753,0,1,0,1,3,1,3
21400776,0,0,4,2,1,1,1042,1610612764,1610612753,0,0,1,1,2,4,5
21400788,0,0,2,1,0,0,439,1610612752,1610612753,1,0,0,0,1,2,2
21400803,0,0,2,1,0,0,414,1610612740,1610612753,0,0,0,1,1,1,2
21400825,1,0,5,1,1,1,617,1610612755,1610612753,2,1,1,0,0,1,3
21400842,0,0,3,3,2,0,535,1610612748,1610612753,0,1,1,0,1,2,6
21400897,0,0,1,0,0,0,682,1610612756,1610612753,1,1,1,0,0,0,0
21400913,1,0,2,1,0,0,823,1610612758,1610612753,0,0,0,0,2,3,2
21400935,2,0,3,1,0,0,897,1610612738,1610612753,0,0,0,1,0,1,2
21400946,0,0,4,1,0,0,713,1610612754,1610612753,2,0,0,0,0,0,2
21400956,2,1,5,2,2,2,1079,1610612749,1610612753,0,1,0,1,1,1,7
21400969,3,1,8,4,2,2,1185,1610612738,1610612753,2,0,1,1,2,1,11
21400985,2,0,3,1,0,0,778,1610612739,1610612753,0,1,1,0,2,2,2
21401002,0,0,0,0,0,0,523,1610612745,1610612753,0,0,0,1,0,1,0
21401020,0,0,3,1,2,2,1108,1610612757,1610612753,2,0,1,0,0,2,4
21401044,2,0,8,3,2,2,1073,1610612743,1610612753,1,0,0,1,0,3,8
21401062,1,0,1,0,0,0,577,1610612737,1610612753,0,1,2,0,0,1,0
21401074,0,0,4,2,0,0,847,1610612765,1610612753,0,2,0,0,1,4,4
21401113,1,0,1,0,0,0,684,1610612759,1610612753,0,1,0,0,1,2,0
21401133,3,1,10,3,0,0,1819,1610612750,1610612753,5,2,2,0,1,4,7
21401143,1,0,6,5,0,0,1756,1610612749,1610612753,4,1,0,2,0,0,10
21401161,1,0,3,2,4,3,1328,1610612741,1610612753,0,1,1,0,0,4,7
21401175,2,0,8,5,3,3,1444,1610612761,1610612753,3,3,0,0,1,2,13
21401187,1,0,5,0,0,0,1400,1610612752,1610612753,0,0,2,1,1,3,0
21401207,2,0,14,2,2,1,1916,1610612748,1610612753,3,2,2,2,1,2,5
21401224,2,1,11,3,0,0,2053,1610612751,1610612753,3,0,0,0,0,2,7
21500004,2,0,8,4,6,4,1021,1610612764,1610612753,4,1,0,1,0,0,12
21500022,1,1,4,4,8,6,1071,1610612760,1610612753,1,0,1,1,1,5,15
21500043,1,0,7,2,0,0,1475,1610612741,1610612753,2,1,2,2,3,1,4
21500056,0,0,2,1,0,0,268,1610612740,1610612753,0,0,0,0,1,2,2
21500064,0,0,11,7,7,5,1922,1610612745,1610612753,4,1,0,1,1,1,19
21500075,3,1,8,2,0,0,695,1610612761,1610612753,2,0,0,1,1,2,5
21500087,3,1,7,4,2,1,1342,1610612755,1610612753,3,2,1,0,0,1,10
21500114,2,1,3,1,2,1,950,1610612747,1610612753,3,1,0,0,1,2,4
21500128,1,0,9,3,5,4,1640,1610612762,1610612753,3,3,1,4,0,4,10
21500139,2,0,10,4,6,4,1902,1610612764,1610612753,1,2,3,0,0,4,12
21500166,0,0,3,2,2,1,826,1610612750,1610612753,2,2,0,2,1,1,5
21500189,2,0,7,3,0,0,1234,1610612758,1610612753,2,1,1,1,1,4,6
21500203,2,1,10,5,0,0,1490,1610612739,1610612753,3,1,0,3,2,3,11
21500216,0,0,4,0,4,2,1025,1610612752,1610612753,3,1,0,2,0,3,2
21500228,1,0,2,1,0,0,1104,1610612749,1610612753,0,1,1,0,2,2,2
21500249,3,2,7,5,0,0,1307,1610612738,1610612753,1,2,0,1,0,2,12
