@relation E'Twaun_Moore
@attribute box_fg3a Continuous
@attribute box_fg3m Continuous
@attribute box_fga Continuous
@attribute box_fgm Continuous
@attribute box_fta Continuous
@attribute box_ftm Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
1,0,6,3,0,0,1545,1610612754,1610612753,1,1,2,0,2,2,6
3,2,11,4,0,0,1268,1610612750,1610612753,0,0,1,1,1,2,10
2,1,2,1,2,2,1336,1610612740,1610612753,0,3,1,0,0,2,5
1,1,3,2,0,0,824,1610612751,1610612753,0,0,0,0,1,1,5
3,2,8,5,0,0,1609,1610612746,1610612753,0,1,1,0,0,4,12
1,0,7,3,1,1,1164,1610612738,1610612753,0,3,0,0,0,0,7
1,1,5,2,3,2,1480,1610612737,1610612753,1,2,1,0,0,1,7
1,0,6,4,3,3,1492,1610612738,1610612753,0,2,1,0,2,3,11
3,0,8,1,0,0,1043,1610612749,1610612753,0,0,0,1,0,2,2
1,0,4,2,1,1,1740,1610612742,1610612753,2,2,1,0,1,5,5
1,0,3,1,0,0,979,1610612748,1610612753,0,3,1,0,2,1,2
4,4,5,5,0,0,1317,1610612748,1610612753,0,1,0,0,2,1,14
2,1,2,1,0,0,824,1610612756,1610612753,0,0,0,0,0,0,3
3,1,8,5,1,1,1802,1610612737,1610612753,0,5,2,0,1,2,12
4,1,8,2,2,2,1783,1610612755,1610612753,1,3,1,0,2,0,7
5,2,8,2,0,0,1944,1610612759,1610612753,0,3,1,0,1,0,6
3,0,8,1,4,4,1692,1610612764,1610612753,1,0,2,0,1,4,6
2,0,4,1,0,0,1326,1610612755,1610612753,1,3,1,0,0,1,2
3,0,5,1,0,0,1182,1610612752,1610612753,0,1,0,0,2,0,2
5,2,10,4,3,2,1327,1610612745,1610612753,2,3,2,0,0,0,12
0,0,2,0,0,0,497,1610612763,1610612753,0,0,0,0,0,0,0
1,0,9,5,0,0,1467,1610612766,1610612753,2,2,1,0,0,2,10
3,1,5,1,0,0,928,1610612739,1610612753,0,2,0,0,1,0,3
1,0,2,1,0,0,374,1610612760,1610612753,0,1,0,0,0,0,2
2,1,3,1,0,0,362,1610612741,1610612753,1,0,0,0,0,0,3
2,2,8,4,0,0,1299,1610612762,1610612753,1,2,2,1,0,0,10
2,0,3,1,1,1,708,1610612737,1610612753,0,0,0,0,2,0,3
1,1,4,1,0,0,599,1610612744,1610612753,0,0,1,0,0,0,3
2,1,2,1,2,0,815,1610612739,1610612753,0,2,0,0,0,1,3
1,0,5,2,2,2,893,1610612748,1610612753,0,0,2,0,2,3,6
2,0,4,0,2,0,1008,1610612746,1610612753,1,0,2,0,0,2,0
0,0,0,0,2,1,73,1610612757,1610612753,0,0,0,0,0,0,1
4,0,8,2,0,0,968,1610612758,1610612753,0,1,2,0,0,2,4
1,0,10,5,0,0,1492,1610612743,1610612753,0,2,0,1,2,1,10
3,0,7,2,0,0,1210,1610612742,1610612753,0,3,1,1,0,2,4
0,0,2,1,0,0,1180,1610612741,1610612753,0,1,0,0,1,0,2
2,1,4,3,0,0,1067,1610612766,1610612753,0,4,2,0,2,2,7
3,1,5,1,0,0,1306,1610612738,1610612753,0,0,2,1,0,4,3
2,1,8,5,2,2,1473,1610612751,1610612753,0,2,0,0,0,2,13
0,0,4,1,0,0,577,1610612737,1610612753,0,1,3,0,1,2,2
0,0,3,2,0,0,430,1610612747,1610612753,0,0,0,0,0,1,4
1,0,7,3,0,0,857,1610612740,1610612753,1,0,0,0,0,3,6
2,1,6,3,3,3,1341,1610612765,1610612753,1,2,0,1,0,1,10
2,1,8,4,0,0,1181,1610612761,1610612753,0,0,1,0,0,2,9
5,3,7,5,0,0,1456,1610612749,1610612753,0,1,2,1,0,5,13
1,0,3,1,0,0,608,1610612738,1610612753,0,0,1,0,2,0,2
2,1,5,2,2,1,810,1610612754,1610612753,0,2,0,0,1,0,6
1,0,5,2,1,0,973,1610612765,1610612753,0,2,0,0,1,0,4
1,0,4,3,0,0,810,1610612760,1610612753,1,2,0,0,1,1,6
1,0,3,1,0,0,779,1610612754,1610612753,0,1,1,0,1,2,2
1,0,7,4,0,0,847,1610612763,1610612753,0,0,0,0,0,0,8
6,3,12,6,2,2,1392,1610612749,1610612753,0,0,1,2,3,2,17
3,0,6,1,0,0,1064,1610612739,1610612753,0,0,1,0,0,1,2
2,1,11,4,1,1,2014,1610612752,1610612753,0,4,0,0,0,0,10
3,1,15,7,2,1,1671,1610612761,1610612753,2,3,2,1,0,1,16
2,1,4,1,0,0,900,1610612764,1610612753,0,1,1,0,1,1,3
2,1,4,2,0,0,1142,1610612755,1610612753,1,2,0,0,1,1,5
2,1,7,4,2,1,2035,1610612748,1610612753,0,1,1,0,2,2,10
1,0,10,4,4,3,1935,1610612755,1610612753,0,2,1,0,1,2,11
