@relation Garrett_Temple
@attribute box_fg3a Continuous
@attribute box_fg3m Continuous
@attribute box_fga Continuous
@attribute box_fgm Continuous
@attribute box_fta Continuous
@attribute box_ftm Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
1,0,1,0,0,0,303,1610612765,1610612764,0,1,0,1,0,1,0
0,0,0,0,0,0,55,1610612755,1610612764,0,0,0,0,0,0,0
0,0,0,0,0,0,27,1610612748,1610612764,0,0,0,0,0,0,0
0,0,0,0,0,0,7,1610612751,1610612764,0,0,0,0,0,1,0
0,0,0,0,0,0,79,1610612742,1610612764,0,0,1,0,1,0,0
0,0,2,0,2,1,589,1610612759,1610612764,0,2,0,0,0,1,1
0,0,1,1,0,0,936,1610612739,1610612764,1,1,0,1,3,2,2
1,0,4,1,0,0,918,1610612750,1610612764,0,2,1,0,2,3,2
2,0,5,2,0,0,1185,1610612739,1610612764,2,0,0,0,0,2,4
1,0,3,1,0,0,1045,1610612761,1610612764,1,1,1,0,1,1,2
0,0,3,2,0,0,945,1610612752,1610612764,0,0,0,0,0,1,4
1,0,3,1,0,0,1578,1610612747,1610612764,0,1,1,0,1,3,2
0,0,2,2,2,2,1323,1610612749,1610612764,2,4,2,0,3,2,6
2,0,7,1,0,0,1331,1610612754,1610612764,1,0,1,1,3,2,2
0,0,0,0,0,0,62,1610612737,1610612764,0,0,0,0,0,0,0
0,0,1,0,0,0,105,1610612753,1610612764,0,0,0,0,0,1,0
0,0,0,0,0,0,62,1610612749,1610612764,0,1,0,0,0,1,0
1,0,2,0,0,0,297,1610612743,1610612764,1,0,0,0,1,0,0
0,0,4,1,3,1,962,1610612737,1610612764,0,4,0,0,1,1,3
0,0,0,0,0,0,241,1610612746,1610612764,0,1,0,0,1,2,0
0,0,1,1,0,0,925,1610612752,1610612764,0,2,0,0,0,1,2
1,1,7,2,0,0,630,1610612751,1610612764,1,1,1,0,1,1,5
1,0,5,1,0,0,691,1610612738,1610612764,2,1,0,0,1,1,2
0,0,1,0,0,0,710,1610612750,1610612764,0,1,1,0,2,0,0
0,0,4,1,2,1,1054,1610612765,1610612764,1,2,4,2,1,1,3
0,0,1,0,2,1,623,1610612765,1610612764,0,4,0,0,0,1,1
0,0,0,0,0,0,371,1610612742,1610612764,0,0,0,0,1,1,0
0,0,4,1,0,0,1049,1610612761,1610612764,0,3,1,0,0,1,2
3,1,5,2,2,2,613,1610612744,1610612764,0,2,0,0,0,1,7
0,0,1,0,0,0,973,1610612766,1610612764,0,2,1,0,2,1,0
1,0,3,1,0,0,889,1610612740,1610612764,0,6,1,1,0,2,2
0,0,2,1,0,0,555,1610612754,1610612764,0,0,0,0,0,1,2
0,0,3,2,0,0,338,1610612745,1610612764,0,0,0,0,1,1,4
2,1,4,2,7,5,755,1610612741,1610612764,0,1,1,0,0,1,10
0,0,1,1,2,1,665,1610612748,1610612764,0,1,1,0,1,2,3
1,0,5,3,0,0,863,1610612741,1610612764,1,5,0,1,0,3,6
3,1,4,1,2,1,734,1610612765,1610612764,0,0,0,0,1,2,4
0,0,2,0,0,0,1074,1610612755,1610612764,1,2,0,0,2,5,0
0,0,1,1,2,2,536,1610612738,1610612764,0,0,0,0,2,1,4
1,0,6,1,2,1,1401,1610612756,1610612764,0,1,1,1,2,3,3
1,0,4,1,4,4,817,1610612762,1610612764,0,0,1,0,1,0,6
0,0,2,1,0,0,331,1610612744,1610612764,1,2,0,0,0,1,2
1,0,4,2,1,0,789,1610612746,1610612764,0,2,2,0,0,5,4
1,1,4,3,0,0,846,1610612760,1610612764,1,2,0,0,0,1,7
0,0,1,1,0,0,747,1610612757,1610612764,0,0,3,0,3,1,2
0,0,3,2,2,2,840,1610612759,1610612764,1,1,3,0,1,1,6
0,0,2,0,0,0,533,1610612739,1610612764,0,2,0,1,0,2,0
0,0,3,1,3,2,723,1610612758,1610612764,0,3,1,1,1,1,4
1,0,2,1,0,0,933,1610612763,1610612764,0,2,3,0,2,0,2
0,0,1,0,0,0,499,1610612745,1610612764,0,0,1,0,0,1,0
1,0,3,0,0,0,613,1610612761,1610612764,3,0,0,0,0,0,0
1,0,4,2,0,0,902,1610612737,1610612764,0,2,0,0,0,5,4
0,0,0,0,0,0,126,1610612739,1610612764,0,0,1,0,0,0,0
0,0,0,0,0,0,89,1610612753,1610612764,0,0,0,0,0,0,0
0,0,0,0,2,1,45,1610612761,1610612764,0,0,0,1,0,0,1
0,0,1,0,0,0,380,1610612755,1610612764,0,3,0,0,0,0,0
0,0,1,0,0,0,230,1610612762,1610612764,0,0,1,0,0,0,0
0,0,0,0,0,0,11,1610612749,1610612764,0,0,0,0,0,0,0
0,0,0,0,0,0,86,1610612748,1610612764,0,1,0,0,0,0,0
0,0,0,0,0,0,16,1610612766,1610612764,0,0,0,0,0,0,0
0,0,0,0,0,0,12,1610612753,1610612764,0,0,0,0,0,0,0
0,0,0,0,0,0,86,1610612758,1610612764,0,0,0,0,0,0,0
0,0,3,2,2,2,147,1610612757,1610612764,0,0,0,0,0,0,6
0,0,0,0,0,0,5,1610612747,1610612764,0,0,0,0,0,0,0
0,0,0,0,0,0,7,1610612743,1610612764,0,0,0,0,0,0,0
0,0,1,0,0,0,104,1610612756,1610612764,0,0,0,0,0,0,0
0,0,0,0,0,0,106,1610612754,1610612764,1,0,0,0,0,0,0
0,0,0,0,0,0,8,1610612737,1610612764,0,0,0,0,0,0,0
1,1,1,1,0,0,146,1610612738,1610612764,0,0,0,0,0,0,3
0,0,2,1,1,1,196,1610612741,1610612764,0,0,0,0,0,0,3
0,0,0,0,0,0,7,1610612766,1610612764,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1610612753,1610612764,0,0,0,0,0,0,0
0,0,0,0,0,0,55,1610612749,1610612764,0,0,0,0,0,0,0
0,0,0,0,0,0,125,1610612748,1610612764,0,0,0,0,0,0,0
0,0,1,0,0,0,229,1610612738,1610612764,0,0,0,0,0,0,0
6,2,8,2,0,0,1855,1610612748,1610612764,2,1,2,1,3,1,6
3,2,8,4,2,2,2012,1610612753,1610612764,0,1,0,0,0,3,12
4,2,9,6,5,4,2266,1610612749,1610612764,0,1,3,0,2,2,18
7,4,10,5,4,3,1818,1610612752,1610612764,1,2,1,1,2,3,17
7,4,14,6,0,0,2571,1610612754,1610612764,1,4,2,0,1,3,16
5,0,6,0,4,3,1742,1610612761,1610612764,0,3,2,1,0,3,3
3,1,4,1,0,0,1886,1610612754,1610612764,1,2,0,1,1,4,3
2,0,5,1,4,4,1301,1610612765,1610612764,2,1,2,0,0,4,6
1,0,3,0,2,1,1370,1610612753,1610612764,0,4,1,1,0,3,1
2,0,3,0,2,2,800,1610612742,1610612764,1,0,2,0,2,3,2
0,0,2,0,0,0,577,1610612739,1610612764,1,1,1,0,1,0,0
2,0,3,0,2,1,1077,1610612749,1610612764,1,1,2,0,0,1,1
2,1,3,2,1,0,858,1610612737,1610612764,2,3,1,0,1,1,5
0,0,0,0,0,0,26,1610612739,1610612764,0,0,0,0,0,0,0
0,0,0,0,0,0,175,1610612748,1610612764,0,0,0,0,0,0,0
0,0,1,0,0,0,259,1610612743,1610612764,0,3,1,0,1,1,0
0,0,0,0,0,0,1,1610612738,1610612764,0,0,0,0,0,0,0
0,0,0,0,0,0,3,1610612738,1610612764,0,0,0,0,0,0,0
0,0,0,0,0,0,142,1610612746,1610612764,0,0,0,0,0,0,0
0,0,0,0,0,0,31,1610612762,1610612764,0,0,0,0,0,0,0
2,1,3,1,0,0,618,1610612750,1610612764,2,0,0,0,1,2,3
0,0,0,0,0,0,4,1610612748,1610612764,0,0,0,0,0,0,0
0,0,0,0,0,0,95,1610612756,1610612764,0,0,1,0,0,0,0
0,0,1,0,0,0,35,1610612752,1610612764,0,0,0,0,0,0,0
0,0,0,0,0,0,163,1610612738,1610612764,0,0,0,0,3,3,0
0,0,0,0,0,0,207,1610612742,1610612764,0,0,0,0,0,0,0
0,0,0,0,0,0,119,1610612752,1610612764,0,0,0,0,0,0,0
0,0,0,0,0,0,25,1610612741,1610612764,0,0,0,0,1,0,0
0,0,1,0,0,0,259,1610612737,1610612764,1,1,0,0,0,0,0
0,0,1,0,2,2,195,1610612751,1610612764,0,1,0,0,0,0,2
0,0,0,0,0,0,19,1610612751,1610612764,0,0,1,0,0,0,0
2,2,3,3,0,0,279,1610612755,1610612764,0,0,0,0,1,0,8
0,0,0,0,0,0,3,1610612757,1610612764,0,0,0,0,0,0,0
0,0,0,0,0,0,90,1610612747,1610612764,0,0,0,0,0,0,0
1,0,5,3,0,0,435,1610612756,1610612764,0,1,1,0,0,1,6
1,0,2,1,0,0,715,1610612761,1610612764,1,2,1,0,2,2,2
1,0,7,3,0,0,1583,1610612766,1610612764,0,1,3,0,0,3,6
2,0,6,2,2,2,1076,1610612737,1610612764,0,0,1,0,0,1,6
2,1,5,3,0,0,1080,1610612766,1610612764,0,1,1,0,1,4,7
1,1,5,3,0,0,1427,1610612751,1610612764,1,3,1,0,2,4,7
2,1,3,2,2,2,1575,1610612753,1610612764,1,3,3,0,0,2,7
