@relation Ian_Mahinmi
@attribute box_fg3a Continuous
@attribute box_fg3m Continuous
@attribute box_fga Continuous
@attribute box_fgm Continuous
@attribute box_fta Continuous
@attribute box_ftm Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
0,0,1,0,6,4,1002,1610612753,1610612754,1,0,0,2,2,5,4
0,0,3,0,0,0,1454,1610612740,1610612754,1,0,1,4,1,1,0
0,0,1,0,4,2,1189,1610612739,1610612754,4,1,0,1,3,2,2
0,0,1,1,0,0,828,1610612765,1610612754,0,1,0,0,0,4,2
0,0,1,0,0,0,585,1610612741,1610612754,2,0,0,0,4,3,0
0,0,1,0,0,0,983,1610612761,1610612754,1,0,0,2,1,4,0
0,0,1,1,0,0,966,1610612751,1610612754,0,0,2,0,0,2,2
0,0,3,2,6,6,1428,1610612763,1610612754,0,0,1,1,1,4,10
0,0,3,1,0,0,1027,1610612749,1610612754,1,0,1,0,2,2,2
0,0,0,0,2,0,401,1610612741,1610612754,2,0,1,0,0,0,0
0,0,0,0,0,0,579,1610612752,1610612754,1,0,0,0,1,1,0
0,0,3,2,2,1,756,1610612738,1610612754,1,0,0,1,1,2,5
0,0,5,3,2,1,1236,1610612750,1610612754,1,0,1,2,0,3,7
0,0,4,0,3,3,1095,1610612766,1610612754,1,0,0,0,1,3,3
0,0,4,2,2,2,956,1610612764,1610612754,2,0,1,0,0,3,6
0,0,3,1,6,3,701,1610612746,1610612754,1,0,0,1,0,2,5
0,0,0,0,0,0,683,1610612757,1610612754,0,0,0,0,0,4,0
0,0,2,1,0,0,790,1610612762,1610612754,1,1,1,1,0,2,2
0,0,0,0,0,0,390,1610612759,1610612754,0,0,0,0,1,3,0
0,0,4,1,1,1,1166,1610612760,1610612754,1,0,0,2,2,2,3
0,0,2,0,2,0,640,1610612748,1610612754,1,0,0,1,0,4,0
0,0,1,1,0,0,763,1610612766,1610612754,2,0,0,1,1,4,2
0,0,0,0,0,0,749,1610612765,1610612754,0,0,0,1,0,1,0
0,0,5,1,4,3,1366,1610612748,1610612754,2,1,2,1,0,3,5
0,0,4,4,2,2,1180,1610612745,1610612754,1,0,0,2,0,4,10
0,0,2,2,1,0,1303,1610612738,1610612754,4,4,2,0,1,5,4
0,0,5,3,1,1,1128,1610612751,1610612754,0,1,4,0,0,2,7
0,0,0,0,0,0,991,1610612751,1610612754,1,1,1,1,0,1,0
0,0,3,2,4,2,777,1610612739,1610612754,2,0,0,1,0,0,6
0,0,2,2,4,1,1297,1610612761,1610612754,2,0,3,1,1,4,5
0,0,3,1,1,0,865,1610612740,1610612754,2,0,0,1,0,3,2
